,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,Brazil,223,234,242,257,262,276,291,308,322,335,349,329,346,364,387,403,419,445,463,466,516,532,552,571,591,581,579,589,601,626,621,656,677,710,4.8,3.1,,,
,Chile,18,20,22,24,25,28,31,33,36,38,40,43,44,47,51,52,55,59,60,61,60,66,70,73,71,75,79,79,82,85,84,88,90,90,0.2,3.6,,,
,Colombia,36,37,35,40,43,45,45,46,46,44,44,44,45,48,50,50,54,55,57,58,56,62,63,74,72,75,74,74,78,80,80,84,88,93,5.9,3.3,,,
,Mexico,116,129,133,136,147,152,158,167,182,192,206,214,218,236,238,251,258,265,269,268,276,303,307,297,301,311,321,323,358,345,318,380,393,410,4.5,3.1,,,
,Asia,"2,263","2,409","2,548","2,713","2,936","3,132","3,311","3,470","3,539","3,731","3,988","4,153","4,438","4,784","5,226","5,649","6,133","6,693","6,853","7,253","7,981","8,511","8,904","9,583","10,105","10,230","10,708","11,338","12,000","12,404","12,628","13,600","13,972","14,741",5.5,5.8,,,
,China,621,678,754,839,928,"1,008","1,081","1,134","1,166","1,239","1,356","1,472","1,654","1,911","2,203","2,500","2,866","3,282","3,409","3,742","4,207","4,713","4,988","5,432","5,794","5,815","6,133","6,604","7,166","7,503","7,779","8,534","8,849","9,456",6.9,8.8,,,
,India,289,316,333,356,386,418,437,466,497,536,561,579,597,633,666,697,752,813,843,899,955,973,"1,035","1,193","1,309","1,354","1,432","1,490","1,522","1,577","1,533","1,610","1,753","1,874",6.9,5.4,,,
,Indonesia,49,51,55,59,64,68,78,84,76,96,100,102,108,113,120,127,133,142,149,158,170,182,196,222,235,267,233,263,276,281,277,289,308,323,4.9,5.3,,,
,Japan,871,898,904,912,969,990,"1,011","1,035","1,031","1,048","1,068","1,050","1,068","1,059","1,088","1,109","1,113","1,142","1,108","1,090","1,171","1,111","1,099","1,104","1,076","1,059","1,071","1,081","1,067","1,039","1,017","1,050","1,027","1,009",-1.8,-0.2,,,
,Malaysia,25,28,32,36,40,47,53,59,61,65,69,71,74,78,95,101,107,105,107,107,117,125,134,138,147,150,157,165,171,178,174,180,187,192,2.9,4.5,,,
